account_id,application_ts,outcome_ts,credit_score,income,region,payment_received_flag,payment_received_ts,default_status_final,split,defaulted
ACC-100000,2025-02-26,2025-04-15,721.0,100324.0,south,1,2025-04-19,CURRENT,train,0
ACC-100001,2025-02-07,2025-03-31,725.0,109051.0,south,1,2025-04-05,CURRENT,train,0
ACC-100002,2025-02-11,2025-04-21,627.0,83854.0,north,0,2025-04-23,DEFAULTED,train,1
ACC-100003,2025-02-23,2025-04-26,604.0,85612.0,south,1,2025-05-04,CURRENT,train,0
ACC-100004,2025-02-04,2025-03-23,660.0,87105.0,south,0,2025-03-25,DEFAULTED,train,1
ACC-100005,2025-02-16,2025-03-30,757.0,91490.0,south,0,2025-04-05,DEFAULTED,train,1
ACC-100006,2025-02-20,2025-05-03,525.0,73793.0,south,0,2025-05-06,DEFAULTED,train,1
ACC-100007,2025-01-14,2025-02-27,709.0,108504.0,north,1,2025-03-06,CURRENT,train,0
ACC-100008,2025-01-04,2025-02-15,621.0,82793.0,north,1,2025-02-16,CURRENT,train,0
ACC-100009,2025-01-19,2025-03-09,737.0,98324.0,south,1,2025-03-11,CURRENT,train,0
ACC-100010,2025-01-18,2025-04-09,621.0,75141.0,south,0,2025-04-18,DEFAULTED,train,1
ACC-100011,2025-02-22,2025-04-20,664.0,96458.0,north,1,2025-04-26,CURRENT,train,0
ACC-100012,2025-02-24,2025-04-30,597.0,97049.0,north,0,2025-05-08,DEFAULTED,train,1
ACC-100013,2025-01-01,2025-02-04,626.0,82428.0,south,1,2025-02-08,CURRENT,train,0
ACC-100014,2025-01-30,2025-03-21,756.0,126376.0,north,1,2025-03-28,CURRENT,train,0
ACC-100015,2025-02-19,2025-05-05,725.0,96679.0,south,1,2025-05-06,CURRENT,train,0
ACC-100016,2025-01-08,2025-03-25,658.0,121985.0,north,0,2025-04-01,DEFAULTED,train,1
ACC-100017,2025-02-17,2025-04-22,632.0,107265.0,south,0,2025-04-24,DEFAULTED,train,1
ACC-100018,2025-01-08,2025-03-31,576.0,78079.0,north,0,2025-04-06,DEFAULTED,train,1
ACC-100019,2025-01-29,2025-03-17,658.0,83121.0,south,1,2025-03-22,CURRENT,train,0
ACC-100020,2025-02-18,2025-03-29,678.0,97850.0,north,1,2025-04-04,CURRENT,train,0
ACC-100021,2025-01-19,2025-02-22,675.0,91101.0,south,1,2025-02-25,CURRENT,train,0
ACC-100022,2025-01-21,2025-03-03,675.0,90890.0,south,1,2025-03-04,CURRENT,train,0
